"Region","ReportLevel","Report"
"Ballymun Area Network","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN70-ballymun-area-network-hse-dublin-and-north-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Ballymun Area Network summary report"">PDF</a>  "
"Balbriggan Area Network","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN71-balbriggan-area-network-hse-dublin-and-north-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Balbriggan Area Network summary report"">PDF</a>  "
"Coastal Area Network","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN72-coastal-area-network-hse-dublin-and-north-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Coastal Area Network summary report"">PDF</a>  "
"Coolock Area Network","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN73-coolock-area-network-hse-dublin-and-north-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Coolock Area Network summary report"">PDF</a>  "
"Newcastle, Citywest, and Saggart","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN74-newcastle-citywest-and-saggart-hse-dublin-and-midlands-WIP07-04-2025.pdf"" target=""_blank"" title=""Newcastle, Citywest, and Saggart summary report"">PDF</a>  "
"Ballinteer, Stepaside and Kiltiernan","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN75-ballinteer-stepaside-and-kiltiernan-hse-dublin-and-south-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Ballinteer, Stepaside and Kiltiernan summary report"">PDF</a>  "
"Milltown, Churchtown and Dundrum","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN76-milltown-churchtown-and-dundrum-hse-dublin-and-south-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Milltown, Churchtown and Dundrum summary report"">PDF</a>  "
"Rathfarnham, Knocklyon and Ballyboden","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN77-rathfarnham-knocklyon-and-ballyboden-hse-dublin-and-midlands-WIP07-04-2025.pdf"" target=""_blank"" title=""Rathfarnham, Knocklyon and Ballyboden summary report"">PDF</a>  "
"Swords Area Network","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN78-swords-area-network-hse-dublin-and-north-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Swords Area Network summary report"">PDF</a>  "
"Dun Laoghaire, Dalkey and Loughlinstown","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN79-dun-laoghaire-dalkey-and-loughlinstown-hse-dublin-and-south-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Dun Laoghaire, Dalkey and Loughlinstown summary report"">PDF</a>  "
