OBJECTID,ED_GUID,ED_OFFICIA,ED_ENGLISH,ED_GAEILGE,ED_ID_STR,ED_PART_CO,COUNTY_COD,COUNTY_ENG,COUNTY_GAE,CSO_LEA,SHAPE_Leng,SHAPE_Area
"1479",2ae19629-1c88-13a3-e055-000000000001,Y,OUGHTERLEAGUE,UACHTAR LIAG,"217142","1","23",SOUTH TIPPERARY,Tiobraid Árann,CASHEL-TIPPERARY,26999.095856369276589,-17336742.486803986132145
"1480",2ae19629-1c89-13a3-e055-000000000001,Y,PEPPARDSTOWN,BAILE BHRIODÚNACH,"217143","1","23",SOUTH TIPPERARY,Tiobraid Árann,CARRICK-ON-SUIR,51562.026198881219898,-44888151.662678956985474
"1481",2ae19629-1c8a-13a3-e055-000000000001,Y,BALLYSAGGARTMORE,BAILE NA SAGART MÓR,"227014","1","25",WATERFORD,Port Láirge,LISMORE,34313.423995127042872,-34581034.421682275831699
"1482",2ae19629-1c8b-13a3-e055-000000000001,Y,BOHADOON,BOTH AN DÚIN,"227015","1","25",WATERFORD,Port Láirge,DUNGARVAN,27957.036845191814791,-21271544.304135113954544
"1483",2ae19629-1c8c-13a3-e055-000000000001,Y,CAPPAGH,AN CHEAPAIGH,"227016","1","25",WATERFORD,Port Láirge,DUNGARVAN,23161.169465599017713,-14858405.297807013615966
"1484",2ae19629-1c8d-13a3-e055-000000000001,Y,CLONOULTY WEST,CLUAIN ABHLA THIAR,"217058","1","23",SOUTH TIPPERARY,Tiobraid Árann,CASHEL-TIPPERARY,41023.082548657301231,-40750235.905679948627949
"1485",2ae19629-1c8e-13a3-e055-000000000001,Y,COLMAN,CILL CHOLMÁIN,"217059","1","23",SOUTH TIPPERARY,Tiobraid Árann,CLONMEL,24686.804320357867255,-19376492.704806659370661
"1486",2ae19629-1c8f-13a3-e055-000000000001,Y,KILLEA,CILL SHLÉIBHE,"217101","1","22",NORTH TIPPERARY,Tiobraid Árann,ROSCREA-TEMPLEMORE,32421.415806573331793,-27256579.771347187459469
"1487",2ae19629-1c90-13a3-e055-000000000001,Y,KILLEENASTEENA,CILLÍN AN STIABHNAIGH,"217102","1","23",SOUTH TIPPERARY,Tiobraid Árann,CASHEL-TIPPERARY,29288.618016681000881,-29525128.960107993334532
"1488",2ae19629-1c91-13a3-e055-000000000001,Y,KILLENAULE,CILL NÁILE,"217103","1","23",SOUTH TIPPERARY,Tiobraid Árann,CARRICK-ON-SUIR,29757.205976439508959,-26800298.544677369296551
"1489",2ae19629-1c92-13a3-e055-000000000001,Y,POYNTSTOWN,BAILE AN PHAGHANAIGH,"217144","1","23",SOUTH TIPPERARY,Tiobraid Árann,CARRICK-ON-SUIR,18850.628137426378089,-13575537.615340024232864
"1490",2ae19629-1c93-13a3-e055-000000000001,Y,RAHELTY,RÁTH EILTE,"217145","1","22",NORTH TIPPERARY,Tiobraid Árann,THURLES,37619.706058088675491,-26025701.511591058224440
"1491",2ae19629-1c94-13a3-e055-000000000001,Y,RATHCABBAN,RÁTH CABÁIN,"217146","1","22",NORTH TIPPERARY,Tiobraid Árann,NENAGH,24453.990680977265583,-18757105.327739730477333
"1492",2ae19629-1c95-13a3-e055-000000000001,N,CAPPOQUIN,CEAPACH CHOINN,"227017","1","25",WATERFORD,Port Láirge,LISMORE,38604.681460748957761,-47761470.040096625685692
"1493",2ae19629-1c96-13a3-e055-000000000001,Y,CARRICKBEG RURAL,AN CHARRAIG BHEAG (TUATH),"227018","1","25",WATERFORD,Port Láirge,PORTLAW-KILMACTHOMAS,25913.185320467491692,-13305271.644960409030318
